dataset,index,order,depth,method,run,time_seconds
AdultCensusLocalXAI,BII,3,4,interventional,4,0.000541499990504235
AdultCensusLocalXAI,BII,3,4,interventional,5,0.0005334590096026659
AdultCensusLocalXAI,BII,3,5,fourier,1,0.016147834016010165
AdultCensusLocalXAI,BII,3,5,fourier,2,0.016149916977155954
AdultCensusLocalXAI,BII,3,5,fourier,3,0.016452457988634706
AdultCensusLocalXAI,BII,3,5,fourier,4,0.015429207996930927
AdultCensusLocalXAI,BII,3,5,fourier,5,0.016118999978061765
AdultCensusLocalXAI,BII,3,5,interventional,1,0.0006990409456193447
AdultCensusLocalXAI,BII,3,5,interventional,2,0.0007826670189388096
AdultCensusLocalXAI,BII,3,5,interventional,3,0.0006202500080689788
AdultCensusLocalXAI,BII,3,5,interventional,4,0.0006079170270822942
